t,sin,cos
0.0,0.0,1.0
0.001,0.006283143965558951,0.9999802608561371
0.002,0.012566039883352607,0.9999210442038161
0.003,0.018848439715408175,0.999822352380809
0.004,0.02513009544333748,0.9996841892832999
0.005,0.03141075907812829,0.9995065603657316
0.006,0.03769018266993454,0.9992894726405892
0.007,0.0439681183178649,0.9990329346781247
0.008,0.050244318179769556,0.9987369566060175
0.009000000000000001,0.05651853448202453,0.998401550108975
0.01,0.06279051952931337,0.9980267284282716
0.011,0.06906002571440578,0.9976125063612252
0.012,0.07532680552793272,0.9971589002606139
0.013000000000000001,0.08159061156815756,0.9966659280340299
0.014,0.08785119655074317,0.9961336091431725
0.015,0.09410831331851431,0.99556196460308
0.016,0.1003617148512149,0.9949510169813002
0.017,0.10661115427525991,0.9943007903969989
0.018000000000000002,0.11285638487348168,0.9936113105200084
0.019,0.11909716009486973,0.9928826045698137
0.02,0.12533323356430426,0.9921147013144779
0.021,0.1315643590922825,0.9913076310695066
0.022,0.13779029068463805,0.9904614256966512
0.023,0.14401078255225216,0.9895761186026509
0.024,0.15022558912075706,0.9886517447379141
0.025,0.15643446504023087,0.9876883405951378
0.026000000000000002,0.1626371651948836,0.986685944207868
0.027,0.16883344471273387,0.985644595148998
0.028,0.17502305897527604,0.9845643345292053
0.029,0.18120576362713736,0.9834452049953297
0.03,0.1873813145857246,0.9822872507286887
0.031,0.19354946805086023,0.9810905174433341
0.032,0.19970998051440703,0.9798550523842469
0.033,0.20586260876988133,0.9785809043254721
0.034,0.21200710992205463,0.9772681235681935
0.035,0.21814324139654254,0.9759167619387474
0.036000000000000004,0.22427076094938117,0.9745268727865771
0.037,0.23038942667659057,0.9730985109821265
0.038,0.23649899702372468,0.971631732914674
0.039,0.2425992307954074,0.9701265964901058
0.04,0.2486898871648548,0.9685831611286311
0.041,0.2547707256833821,0.9670014877624351
0.042,0.26084150628989694,0.9653816388332739
0.043000000000000003,0.26690198932037557,0.9637236782900097
0.044,0.27295193551732516,0.9620276715860859
0.045,0.2789911060392293,0.9602936856769431
0.046,0.2850192624699761,0.9585217890173758
0.047,0.2910361668282718,0.9567120515588304
0.048,0.2970415815770349,0.954864544746643
0.049,0.30303526963277394,0.9529793415172189
0.05,0.3090169943749474,0.9510565162951535
0.051000000000000004,0.3149865196553048,0.9490961449902946
0.052000000000000005,0.32094360980720954,0.9470983049947442
0.053,0.32688802965494246,0.9450630751798048
0.054,0.3328195445229866,0.9429905358928645
0.055,0.3387379202452914,0.9408807689542255
0.056,0.34464292317451706,0.9387338576538741
0.057,0.35053432019125896,0.9365498867481924
0.058,0.35641187871325075,0.934328942456612
0.059000000000000004,0.36227536670454563,0.932071112458211
0.06,0.3681245526846779,0.9297764858882515
0.061,0.37395920573780045,0.9274451533346613
0.062,0.37977909552180106,0.925077206834458
0.063,0.38558399227739654,0.9226727398701149
0.064,0.3913736668372024,0.9202318473658704
0.065,0.39714789063478056,0.9177546256839811
0.066,0.40290643571366264,0.9152411726209175
0.067,0.40864907473634904,0.9126915874035028
0.068,0.41437558099328414,0.9101059706849957
0.069,0.42008572841180625,0.9074844245411169
0.07,0.42577929156507266,0.9048270524660196
0.07100000000000001,0.43145604568095897,0.9021339593682028
0.07200000000000001,0.4371157666509329,0.8994052515663711
0.073,0.4427582310389015,0.8966410367852359
0.074,0.44838321609003223,0.8938414241512638
0.075,0.45399049973954675,0.8910065241883679
0.076,0.4595798606214878,0.8881364488135446
0.077,0.4651510780774583,0.8852313113324553
0.078,0.4707039321653325,0.8822912264349533
0.079,0.4762382036679391,0.8793163101905562
0.08,0.4817536741017153,0.8763066800438636
0.081,0.4872501257253323,0.8732624548099202
0.082,0.4927273415482915,0.8701837546695257
0.083,0.4981851053394909,0.86707070116449
0.084,0.5036232016357608,0.8639234171928353
0.085,0.5090414157503712,0.8607420270039436
0.08600000000000001,0.5144395337815064,0.8575266561936523
